timestamp,device_id,temperature,vibration,voltage,pressure,rpm,status
2026-09-14T08:00:00Z,SNSR-001,24.2,0.081,380.1,1.42,1850,NORMAL
2026-09-14T08:01:00Z,SNSR-001,24.5,0.082,380.2,1.42,1850,NORMAL
2026-09-14T08:02:00Z,SNSR-001,24.8,0.080,380.4,1.43,1852,NORMAL
2026-09-14T08:03:00Z,SNSR-001,25.1,0.083,380.1,1.41,1849,NORMAL
2026-09-14T08:04:00Z,SNSR-001,25.4,0.085,379.8,1.42,1851,NORMAL
2026-09-14T08:05:00Z,SNSR-001,26.0,0.084,380.0,1.44,1855,NORMAL
2026-09-14T08:06:00Z,SNSR-001,26.3,0.087,379.7,1.43,1850,NORMAL
2026-09-14T08:07:00Z,SNSR-001,26.8,0.086,380.2,1.45,1853,NORMAL
2026-09-14T08:08:00Z,SNSR-001,27.2,0.089,379.5,1.46,1858,NORMAL
2026-09-14T08:09:00Z,SNSR-001,28.0,0.091,379.9,1.47,1860,NORMAL
2026-09-14T08:10:00Z,SNSR-001,31.4,0.112,377.5,1.52,1890,WARNING
2026-09-14T08:11:00Z,SNSR-001,36.8,0.138,375.2,1.58,1930,WARNING
2026-09-14T08:12:00Z,SNSR-001,42.5,0.165,371.0,1.69,1980,WARNING
2026-09-14T08:13:00Z,SNSR-001,49.2,0.198,366.4,1.82,2040,WARNING
2026-09-14T08:14:00Z,SNSR-001,57.6,0.231,359.8,1.98,2120,WARNING
2026-09-14T08:15:00Z,SNSR-001,68.9,0.284,351.2,2.24,2240,CRITICAL
2026-09-14T08:16:00Z,SNSR-001,79.4,0.325,344.0,2.56,2350,CRITICAL
2026-09-14T08:17:00Z,SNSR-001,88.1,0.362,338.5,2.82,2420,CRITICAL
2026-09-14T08:18:00Z,SNSR-001,92.5,0.389,332.1,3.05,2480,CRITICAL
2026-09-14T08:19:00Z,SNSR-001,94.8,0.410,329.0,3.18,2510,CRITICAL
2026-09-14T08:20:00Z,SNSR-001,85.2,0.340,345.0,2.70,2380,CRITICAL
2026-09-14T08:21:00Z,SNSR-001,72.1,0.270,358.0,2.30,2210,WARNING
2026-09-14T08:22:00Z,SNSR-001,58.4,0.210,368.0,1.95,2090,WARNING
2026-09-14T08:23:00Z,SNSR-001,44.0,0.160,373.0,1.70,1960,WARNING
2026-09-14T08:24:00Z,SNSR-001,34.2,0.120,377.0,1.55,1890,WARNING
2026-09-14T08:25:00Z,SNSR-001,27.8,0.090,379.5,1.45,1855,NORMAL
2026-09-14T08:26:00Z,SNSR-001,25.3,0.083,380.1,1.42,1850,NORMAL
2026-09-14T08:27:00Z,SNSR-001,24.6,0.081,380.3,1.42,1848,NORMAL
2026-09-14T08:28:00Z,SNSR-001,24.4,0.082,380.0,1.41,1851,NORMAL
2026-09-14T08:29:00Z,SNSR-001,24.1,0.080,380.2,1.42,1850,NORMAL
